epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,10288,0.88729,0.73177,1.04128,0.86361,0.83844,0.88891,0.72879,0.74908,0.55543,0.94172,4.36016e-05,4.36016e-05,4.36016e-05
66,10434.8,0.89805,0.74831,1.04318,0.86488,0.84053,0.88782,0.72748,0.74633,0.55196,0.94044,4.24235e-05,4.24235e-05,4.24235e-05
67,10587.6,0.85161,0.74805,1.04446,0.87447,0.82892,0.88811,0.73113,0.74522,0.55041,0.93949,4.12454e-05,4.12454e-05,4.12454e-05
68,10739.8,0.83026,0.69872,1.0348,0.85624,0.82954,0.88038,0.73047,0.74215,0.5462,0.9386,4.00673e-05,4.00673e-05,4.00673e-05
69,10902.7,0.86601,0.73469,1.04821,0.90601,0.79712,0.88124,0.73178,0.73898,0.54435,0.93738,3.88892e-05,3.88892e-05,3.88892e-05
70,11067.4,0.87496,0.72408,1.04942,0.90989,0.79782,0.88398,0.73554,0.73712,0.54205,0.93587,3.77111e-05,3.77111e-05,3.77111e-05
71,11219.4,0.8946,0.75203,1.05189,0.90575,0.80333,0.88434,0.7354,0.73402,0.53795,0.93435,3.6533e-05,3.6533e-05,3.6533e-05
72,11389.5,0.81405,0.69795,1.03141,0.8963,0.81326,0.88478,0.73597,0.7335,0.53795,0.93367,3.53549e-05,3.53549e-05,3.53549e-05
73,11544,0.84831,0.68901,1.04733,0.90119,0.80943,0.88578,0.73797,0.7303,0.53431,0.93254,3.41768e-05,3.41768e-05,3.41768e-05
74,11700.6,0.82175,0.69338,1.01573,0.9012,0.80829,0.88592,0.74037,0.72688,0.53113,0.93119,3.29987e-05,3.29987e-05,3.29987e-05
75,11843.7,0.85832,0.70382,1.02998,0.89974,0.81291,0.88568,0.73924,0.72389,0.52928,0.93028,3.18206e-05,3.18206e-05,3.18206e-05
76,11994.9,0.87209,0.68498,1.02437,0.90992,0.80389,0.88682,0.73973,0.72014,0.52728,0.92858,3.06425e-05,3.06425e-05,3.06425e-05
77,12163.5,0.8341,0.69008,1.04233,0.90685,0.80521,0.88745,0.73906,0.7191,0.52738,0.92773,2.94644e-05,2.94644e-05,2.94644e-05
78,12312.2,0.81174,0.70213,1.04418,0.89105,0.81602,0.88794,0.73911,0.71685,0.52592,0.92653,2.82863e-05,2.82863e-05,2.82863e-05
79,12464,0.80495,0.66806,1.00688,0.88897,0.81841,0.88824,0.73689,0.71442,0.52462,0.92562,2.71082e-05,2.71082e-05,2.71082e-05
80,12614.9,0.85431,0.75243,1.04215,0.89306,0.81745,0.88619,0.73812,0.71486,0.52296,0.92541,2.59301e-05,2.59301e-05,2.59301e-05
81,12772.5,0.81161,0.66895,1.01098,0.88599,0.82306,0.8893,0.74262,0.71231,0.52068,0.92475,2.4752e-05,2.4752e-05,2.4752e-05
82,12926.8,0.83681,0.69424,1.02665,0.89704,0.81766,0.88711,0.74433,0.7115,0.51978,0.92449,2.35739e-05,2.35739e-05,2.35739e-05
83,13069.7,0.84375,0.69504,1.04143,0.90012,0.81757,0.88804,0.74711,0.71027,0.51914,0.92384,2.23958e-05,2.23958e-05,2.23958e-05
84,13264.6,0.87711,0.695,1.02143,0.90174,0.81301,0.88677,0.7461,0.70735,0.51777,0.92277,2.12177e-05,2.12177e-05,2.12177e-05
85,13414.9,0.84564,0.67409,1.0121,0.90026,0.81623,0.88762,0.7458,0.7064,0.51786,0.92203,2.00396e-05,2.00396e-05,2.00396e-05
86,13568.8,0.84576,0.69904,1.02608,0.86629,0.84051,0.88763,0.7433,0.70551,0.51828,0.92157,1.88615e-05,1.88615e-05,1.88615e-05
87,13705.1,0.84822,0.70068,1.04508,0.86998,0.83869,0.88695,0.74656,0.70503,0.51836,0.92109,1.76834e-05,1.76834e-05,1.76834e-05
88,13858.1,0.82421,0.68316,1.03342,0.88802,0.82676,0.8864,0.7462,0.70591,0.51881,0.92106,1.65053e-05,1.65053e-05,1.65053e-05
89,14016.2,0.86561,0.70529,1.039,0.88377,0.83545,0.88781,0.74758,0.70511,0.51834,0.92067,1.53272e-05,1.53272e-05,1.53272e-05
90,14160.6,0.84149,0.69389,1.03293,0.87952,0.83921,0.88897,0.75001,0.70526,0.5175,0.9206,1.41491e-05,1.41491e-05,1.41491e-05
91,14316.4,0.87075,0.73017,1.01422,0.89692,0.82548,0.88867,0.74734,0.71207,0.52053,0.92189,1.2971e-05,1.2971e-05,1.2971e-05
92,14500.8,0.88813,0.7517,1.00997,0.88992,0.81903,0.88868,0.74205,0.72283,0.52728,0.92416,1.17929e-05,1.17929e-05,1.17929e-05
93,14636.1,0.88836,0.75871,1.0058,0.88608,0.81347,0.88362,0.73753,0.73002,0.53337,0.92651,1.06148e-05,1.06148e-05,1.06148e-05
94,14767.9,0.82998,0.71307,0.99563,0.88064,0.81383,0.88282,0.73664,0.73263,0.53846,0.92715,9.4367e-06,9.4367e-06,9.4367e-06
95,14897.7,0.87007,0.73209,1.0055,0.87704,0.81835,0.88164,0.73306,0.73823,0.54279,0.92842,8.2586e-06,8.2586e-06,8.2586e-06
96,15035.5,0.83417,0.69089,0.99407,0.86501,0.82,0.88123,0.73449,0.74019,0.54445,0.92876,7.0805e-06,7.0805e-06,7.0805e-06
97,15157.7,0.8197,0.69848,0.98384,0.86175,0.82138,0.88046,0.73172,0.74333,0.54737,0.92985,5.9024e-06,5.9024e-06,5.9024e-06
98,15287,0.82303,0.65866,0.99719,0.8509,0.82613,0.87873,0.73128,0.74386,0.54797,0.93025,4.7243e-06,4.7243e-06,4.7243e-06
99,15415.3,0.81992,0.67231,0.9873,0.85489,0.82645,0.87975,0.73058,0.74666,0.55016,0.93109,3.5462e-06,3.5462e-06,3.5462e-06
100,15532.6,0.83598,0.69387,0.97701,0.92531,0.77958,0.87862,0.73049,0.74983,0.55328,0.93229,2.3681e-06,2.3681e-06,2.3681e-06
